scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,56,2dnr,0.0001807982,37.428059,0.988820,,61.969269
scene_1,56,dataset_3dnr,0.0000773395,41.115987,0.995921,,56.149330
scene_1,56,ghost3dnr,0.0005764356,32.392492,0.982708,,117.782066
scene_1,57,noisy,0.0001817968,37.404138,0.988391,,61.756573
scene_1,57,2dnr,0.0001817658,37.404879,0.988395,,61.756992
scene_1,57,dataset_3dnr,0.0000814142,40.892999,0.995754,,58.459045
scene_1,57,ghost3dnr,0.0005394630,32.680383,0.984629,,115.966675
scene_1,58,noisy,0.0001816727,37.407103,0.988572,,61.938766
scene_1,58,2dnr,0.0001816422,37.407833,0.988575,,61.938515
scene_1,58,dataset_3dnr,0.0000799128,40.973836,0.995776,,56.768883
scene_1,58,ghost3dnr,0.0004415994,33.549715,0.986416,,106.267036
scene_1,59,noisy,0.0001830954,37.373226,0.988300,,60.362141
scene_1,59,2dnr,0.0001830645,37.373958,0.988306,,60.361874
scene_1,59,dataset_3dnr,0.0000794108,41.001202,0.995896,,54.831715
scene_1,59,ghost3dnr,0.0004469851,33.497070,0.986799,,113.035095
scene_1,60,noisy,0.0001820146,37.398938,0.988754,,62.474510
scene_1,60,2dnr,0.0001819835,37.399679,0.988758,,62.473522
scene_1,60,dataset_3dnr,0.0000805641,40.938582,0.995881,,57.107296
scene_1,60,ghost3dnr,0.0003987210,33.993309,0.986782,,109.671349
scene_1,61,noisy,0.0001825126,37.387072,0.988591,,61.623898
scene_1,61,2dnr,0.0001824830,37.387777,0.988593,,61.623608
scene_1,61,dataset_3dnr,0.0000817842,40.873307,0.995733,,56.599377
scene_1,61,ghost3dnr,0.0003984473,33.996291,0.988416,,114.998871
scene_1,62,noisy,0.0001830562,37.374155,0.988608,,59.167629
scene_1,62,2dnr,0.0001830268,37.374853,0.988613,,59.167606
scene_1,62,dataset_3dnr,0.0000858953,40.660305,0.995649,,54.552689
scene_1,62,ghost3dnr,0.0004815444,33.173637,0.986500,,118.337723
