scene,shard,frame,noisy_psnr,wt_psnr,wt_ssim
1,5,21,25.36709538967042,31.720886690014098,0.843755655463781
1,5,22,25.400715002616746,31.73000269748171,0.8445762296087953
1,5,23,25.427748013276545,31.79789137935465,0.8442265884239591
1,5,24,25.519075420237094,31.796878756038037,0.8388661594170854
1,5,25,25.16921296689249,31.451070220742352,0.8350339114610245
1,5,26,24.9885856531017,30.948517971236708,0.8276873862497046
1,5,27,25.033969141700013,30.997706347067016,0.8190984235723737
1,5,28,24.993348519536514,31.014804376894773,0.8234692895702587
1,5,29,25.208208646585824,31.352187010153074,0.8301352661859296
1,6,0,25.119404391620233,31.109062792026222,0.8243591942303905
1,6,1,25.045086157375973,30.869065044488764,0.8181992550488885
1,6,2,25.03511974429612,30.78876356239705,0.8143572541855476
1,6,3,24.49638442879207,29.995500151101425,0.7939762248989468
1,6,4,24.763001579106664,30.264876422642732,0.8095375377157172
1,6,5,24.550851117220382,29.81559384167754,0.8015827806539867
1,6,6,24.344555722083303,29.441869844518585,0.7972374235754817
1,6,7,24.226061040505197,29.067038723439715,0.7910538911423234
1,6,8,24.133782650345754,28.79382052203782,0.7905038967147174
1,6,9,24.465060780670047,29.137236913174156,0.8023472119281445
1,6,10,24.319737896606664,28.844775944165562,0.8033194457515356
1,6,11,24.299281559035872,28.697005598380866,0.8000735576230303
1,6,12,24.249105049363497,28.546749908114712,0.7984654966416598
1,6,13,23.867595954346207,28.06183877074217,0.77929438852911
1,6,14,23.82820228633236,27.96286884500396,0.7792495375904156
1,6,15,23.706963173100707,27.737393365119225,0.7664693837786002
1,6,16,24.069661847910044,28.210182584755664,0.7912497158605707
1,6,17,23.72817164932878,27.677440367557846,0.775061425423508
1,6,18,23.733145008045533,27.56040136606316,0.7819727355819263
1,6,19,23.740046839472534,27.41415331463086,0.7863543900218958
1,6,20,23.94936786004145,27.649676587876165,0.7960845046256307
1,6,21,23.846557621361097,27.644357854252174,0.7884853014693928
1,6,22,23.874015244106847,27.86649723360727,0.7888624034935535
1,6,23,24.253707728051815,28.413838085740526,0.800133171430771
1,6,24,23.784344210015178,27.8393038025736,0.7722527670545439
1,6,25,23.95664114632357,28.268102003454217,0.7787946677019724
1,6,26,24.355121796872194,28.925032821036588,0.7958184888650645
1,6,27,24.01376903128943,28.765353329775103,0.7792549667207026
1,6,28,24.59618628661458,29.62169217379919,0.8019186571613074
1,6,29,24.744807951898583,29.913901221928953,0.8005208007734432
1,7,0,24.60045698808713,29.861485837022368,0.7944328985164731
1,7,1,24.953865358057243,30.20703043937358,0.8019478636794122
1,7,2,24.99160725252946,30.412651809970498,0.8066809894820401
1,7,3,25.084186494836814,30.52005021837084,0.8086429107837381
1,7,4,25.135696562444615,30.87335631803894,0.8158187110571996
1,7,5,25.22770014653213,31.14312895305177,0.8213179679902278
1,7,6,24.937877056366915,30.665235260236305,0.8064044714757239
1,7,7,24.99238866444046,30.853451668841743,0.8121932593366241
1,7,8,25.261243153143976,31.35698320928369,0.8260751307519145
1,7,9,25.247092038770994,31.48941970876663,0.8272413384560272
1,7,10,25.406316861419484,31.718860167327712,0.836197413415832
1,7,11,25.44050900354805,31.836674066675958,0.8372304168918461
