scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,54,noisy,0.0001135440,39.448358,0.987089,770.287964,60.141651
scene_2,54,2dnr,0.0001134995,39.450059,0.987097,768.473022,60.140926
scene_2,54,dataset_3dnr,0.0000428811,43.677338,0.994543,124.376503,53.885071
scene_2,54,ghost3dnr,0.0014295672,28.447954,0.969669,88.521133,154.213013
scene_2,55,noisy,0.0001139687,39.432146,0.987000,766.509399,59.885868
scene_2,55,2dnr,0.0001139250,39.433809,0.987008,764.734802,59.885956
scene_2,55,dataset_3dnr,0.0000428867,43.676776,0.994694,124.060471,54.660717
scene_2,55,ghost3dnr,0.0014450862,28.401062,0.970317,88.768364,149.308685
scene_2,56,noisy,0.0001132985,39.457757,0.987016,757.004089,61.016029
scene_2,56,2dnr,0.0001132536,39.459480,0.987026,755.203430,61.016922
scene_2,56,dataset_3dnr,0.0000415524,43.814041,0.994737,121.563393,53.590530
scene_2,56,ghost3dnr,0.0014410076,28.413337,0.970913,86.417046,160.834824
scene_2,57,noisy,0.0001131669,39.462806,0.986963,760.251709,62.288322
scene_2,57,2dnr,0.0001131226,39.464508,0.986972,758.480469,62.287098
scene_2,57,dataset_3dnr,0.0000408482,43.888271,0.994735,121.924675,54.647728
scene_2,57,ghost3dnr,0.0013277821,28.768732,0.972246,91.014534,150.632828
scene_2,58,noisy,0.0001142477,39.421524,0.986671,780.082458,63.220795
scene_2,58,2dnr,0.0001142032,39.423218,0.986679,778.289490,63.220863
scene_2,58,dataset_3dnr,0.0000415868,43.810446,0.994639,127.161224,55.890396
scene_2,58,ghost3dnr,0.0009687368,30.137942,0.974972,84.737099,102.490067
scene_2,59,noisy,0.0001148162,39.399968,0.986844,772.992126,64.595703
scene_2,59,2dnr,0.0001147738,39.401572,0.986852,771.202820,64.596107
scene_2,59,dataset_3dnr,0.0000404539,43.930395,0.994731,123.944740,56.037392
scene_2,59,ghost3dnr,0.0007432687,31.288542,0.979659,84.636955,89.752464
scene_2,60,noisy,0.0001140789,39.427947,0.986885,768.905457,64.241432
scene_2,60,2dnr,0.0001140340,39.429657,0.986895,767.101440,64.241356
scene_2,60,dataset_3dnr,0.0000418684,43.781135,0.994621,124.560127,58.039082
scene_2,60,ghost3dnr,0.0005062192,32.956614,0.982552,91.133614,99.145927
scene_2,61,noisy,0.0001147613,39.402044,0.986651,775.402832,64.594826
scene_2,61,2dnr,0.0001147174,39.403708,0.986659,773.622131,64.595001
scene_2,61,dataset_3dnr,0.0000408710,43.885847,0.994667,125.604980,56.058647
scene_2,61,ghost3dnr,0.0003578966,34.462424,0.987194,88.390862,86.876762
scene_2,62,noisy,0.0001144316,39.414541,0.987084,772.917908,64.510056
scene_2,62,2dnr,0.0001143861,39.416267,0.987093,771.104187,64.509804
scene_2,62,dataset_3dnr,0.0000407869,43.894795,0.994721,124.939026,56.709290
scene_2,62,ghost3dnr,0.0002155174,36.665177,0.989740,84.147064,82.760536
scene_2,63,noisy,0.0001130130,39.468716,0.987044,760.184326,64.357246
scene_2,63,2dnr,0.0001129681,39.470441,0.987051,758.366699,64.356537
scene_2,63,dataset_3dnr,0.0000403319,43.943510,0.994703,121.419357,56.007923
scene_2,63,ghost3dnr,0.0001403341,38.528368,0.992577,83.354301,82.826202
scene_2,64,noisy,0.0001131632,39.462949,0.987191,752.783997,63.830704
scene_2,64,2dnr,0.0001131200,39.464604,0.987199,750.978210,63.830452
