scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_4,54,dataset_3dnr,0.0000449412,43.473552,0.994542,125.495895,51.745071
scene_4,54,ghost3dnr,0.0012006573,29.205809,0.968043,86.765205,161.903641
scene_4,55,noisy,0.0001144608,39.413433,0.987048,769.740662,56.500423
scene_4,55,2dnr,0.0001144180,39.415055,0.987056,768.008728,56.499001
scene_4,55,dataset_3dnr,0.0000453968,43.429751,0.994525,126.048027,52.439602
scene_4,55,ghost3dnr,0.0011256723,29.485880,0.967721,87.521225,142.341202
scene_4,56,noisy,0.0001142351,39.422004,0.987018,773.020264,55.589077
scene_4,56,2dnr,0.0001141920,39.423644,0.987025,771.269226,55.588295
scene_4,56,dataset_3dnr,0.0000462484,43.349036,0.994526,125.931885,51.195450
scene_4,56,ghost3dnr,0.0013084045,28.832580,0.963395,88.623245,154.779068
scene_4,57,noisy,0.0001142502,39.421431,0.987270,772.026489,54.232918
scene_4,57,2dnr,0.0001142067,39.423084,0.987277,770.248169,54.231140
scene_4,57,dataset_3dnr,0.0000464868,43.326700,0.994441,126.839790,50.429489
scene_4,57,ghost3dnr,0.0011738833,29.303751,0.960879,88.499474,154.122696
scene_4,58,noisy,0.0001152455,39.383762,0.986753,779.421997,54.397331
scene_4,58,2dnr,0.0001152026,39.385377,0.986760,777.643494,54.396690
scene_4,58,dataset_3dnr,0.0000483457,43.156418,0.994294,129.853180,50.585876
scene_4,58,ghost3dnr,0.0014165477,28.487688,0.957129,89.782471,165.602432
scene_4,59,noisy,0.0001167179,39.328624,0.986865,778.012939,55.176044
scene_4,59,2dnr,0.0001166755,39.330202,0.986872,776.282654,55.174568
scene_4,59,dataset_3dnr,0.0000504371,42.972498,0.994417,126.755028,52.098568
scene_4,59,ghost3dnr,0.0014061923,28.519553,0.955103,86.830673,160.000641
scene_4,60,noisy,0.0001159900,39.355793,0.986883,779.202393,54.799393
scene_4,60,2dnr,0.0001159478,39.357374,0.986890,777.465576,54.799061
scene_4,60,dataset_3dnr,0.0000506110,42.957548,0.994280,130.751022,51.815731
scene_4,60,ghost3dnr,0.0014360310,28.428362,0.951059,89.365639,163.466568
scene_4,61,noisy,0.0001167916,39.325885,0.987014,779.629944,54.290859
scene_4,61,2dnr,0.0001167496,39.327448,0.987023,777.810242,54.290119
